iter	Passed	Remaining
0	2	277
1	3	180
2	5	186
3	6	158
4	9	175
5	10	159
6	13	177
7	14	164
8	15	158
9	16	148
10	17	139
11	18	133
12	19	133
13	21	132
14	22	129
15	23	125
16	25	122
17	29	134
18	30	131
19	33	133
20	34	131
21	35	126
22	36	122
23	37	118
24	39	117
25	40	113
26	41	111
27	41	107
28	42	104
29	43	101
30	44	98
31	44	95
32	49	100
33	50	98
34	51	95
35	55	98
36	56	95
37	57	94
38	58	91
39	59	89
40	60	87
41	61	84
42	63	84
43	64	82
44	65	80
45	66	78
46	67	76
47	68	74
48	71	74
49	73	73
50	73	71
51	74	69
52	77	68
53	78	66
54	80	65
55	80	63
56	81	61
57	82	59
58	83	57
59	83	55
60	84	54
61	85	52
62	86	50
63	87	48
64	87	47
65	88	45
66	89	44
67	91	43
68	93	41
69	94	40
70	95	39
71	96	37
72	100	37
73	102	36
74	104	34
75	105	33
76	107	32
77	108	30
78	108	28
79	109	27
80	110	25
81	111	24
82	111	22
83	112	21
84	113	20
85	114	18
86	115	17
87	116	15
88	116	14
89	117	13
90	118	11
91	119	10
92	120	9
93	121	7
94	123	6
95	124	5
96	125	3
97	126	2
98	127	1
99	128	0
